@N: MF248 |Running in 64-bit mode.
@N: FX271 :"d:\photonuser\blahlab5\lab3_140l.v":589:3:589:8|Replicating instance Lab_UT.dictrl.currState_2[0] (in view: work.latticehx1k(verilog)) with 35 loads 3 times to improve timing.
@N: FX1017 :"d:\photonuser\blahlab5\latticehx1k.v":365:14:365:33|SB_GB inserted on the net clk.
@N: FX1017 :"d:\photonuser\blahlab5\latticehx1k.v":84:3:84:8|SB_GB inserted on the net rst.
@N: FX1017 :|SB_GB inserted on the net buart._rx.sample.
@N: FX1017 :|SB_GB inserted on the net Lab_UT.uu0.un11_l_count_i.
@N: FX1017 :|SB_GB inserted on the net uu0.un11_l_count_i.
@N: MT611 :|Automatically generated clock latticehx1k_pll|PLLOUTCORE_derived_clock is not used and is being removed
@N: BW103 |The default time unit for the Synopsys Constraint File (SDC or FDC) is 1ns.
@N: BW107 |Synopsys Constraint File capacitance units using default value of 1pF 
@N: FX1056 |Writing EDF file: D:\PhotonUser\blahlab5\mylab5\mylab5_Implmnt\mylab5.edf
@N: MT320 |This timing report is an estimate of place and route data. For final timing results, use the FPGA vendor place and route report.
@N: MT322 |Clock constraints include only register-to-register paths associated with each individual clock.
@N: MT582 |Estimated period and frequency not reported for given clock unless the clock has at least one timing path which is not a false or a max delay path and that does not have excessive slack
